
映像名称                       PID 会话名              会话#       内存使用 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      9,820 K
Registry                       144 Services                   0     60,964 K
smss.exe                       576 Services                   0      1,256 K
csrss.exe                      828 Services                   0      6,180 K
wininit.exe                    948 Services                   0      7,044 K
csrss.exe                      956 Console                    1      6,928 K
services.exe                  1020 Services                   0     12,224 K
lsass.exe                      124 Services                   0     18,936 K
svchost.exe                    804 Services                   0      4,112 K
svchost.exe                    784 Services                   0     31,236 K
fontdrvhost.exe               1040 Services                   0      4,472 K
WUDFHost.exe                  1048 Services                   0      8,712 K
svchost.exe                   1140 Services                   0     20,280 K
svchost.exe                   1208 Services                   0     11,124 K
winlogon.exe                  1268 Console                    1     12,328 K
fontdrvhost.exe               1328 Console                    1     37,476 K
dwm.exe                       1400 Console                    1    310,016 K
svchost.exe                   1448 Services                   0      9,600 K
svchost.exe                   1472 Services                   0      5,716 K
svchost.exe                   1560 Services                   0     10,532 K
svchost.exe                   1568 Services                   0     12,440 K
svchost.exe                   1636 Services                   0      6,316 K
svchost.exe                   1644 Services                   0      9,312 K
svchost.exe                   1772 Services                   0     18,972 K
svchost.exe                   1788 Services                   0      8,728 K
svchost.exe                   1880 Services                   0      8,860 K
igfxCUIService.exe            1920 Services                   0      9,776 K
svchost.exe                   1980 Services                   0     10,488 K
svchost.exe                   2044 Services                   0     12,260 K
svchost.exe                    944 Services                   0      8,516 K
svchost.exe                   2084 Services                   0     18,592 K
svchost.exe                   2152 Services                   0     13,008 K
svchost.exe                   2184 Services                   0     10,076 K
DesktopService64.exe          2228 Services                   0     10,832 K
svchost.exe                   2244 Services                   0     13,148 K
svchost.exe                   2324 Services                   0     10,504 K
svchost.exe                   2412 Services                   0      9,076 K
svchost.exe                   2536 Services                   0      9,548 K
amdfendrsr.exe                2640 Services                   0      8,712 K
atiesrxx.exe                  2648 Services                   0      7,000 K
svchost.exe                   2680 Services                   0     11,524 K
svchost.exe                   2860 Services                   0     14,076 K
svchost.exe                   2868 Services                   0      6,052 K
svchost.exe                   2932 Services                   0      8,056 K
svchost.exe                   2940 Services                   0      8,392 K
Memory Compression            2976 Services                   0    345,012 K
svchost.exe                   3076 Services                   0      9,596 K
svchost.exe                   3124 Services                   0      8,564 K
svchost.exe                   3172 Services                   0      9,316 K
svchost.exe                   3196 Services                   0     19,036 K
svchost.exe                   3312 Services                   0      6,768 K
svchost.exe                   3320 Services                   0      9,972 K
svchost.exe                   3376 Services                   0     14,764 K
svchost.exe                   3540 Services                   0     16,936 K
spoolsv.exe                   3572 Services                   0     26,144 K
svchost.exe                   3656 Services                   0     18,744 K
svchost.exe                   3736 Services                   0      8,440 K
svchost.exe                   3744 Services                   0      7,448 K
mDNSResponder.exe             3952 Services                   0      7,932 K
AppleMobileDeviceService.     3968 Services                   0     13,540 K
svchost.exe                   3976 Services                   0      6,636 K
svchost.exe                   3984 Services                   0     39,936 K
svchost.exe                   3992 Services                   0      6,264 K
IntelCpHDCPSvc.exe            4004 Services                   0      7,960 K
IntelCpHeciSvc.exe            4012 Services                   0      7,492 K
svchost.exe                   4020 Services                   0     50,168 K
svchost.exe                   4028 Services                   0     61,716 K
AlibabaProtect.exe            4036 Services                   0     43,572 K
OneApp.IGCC.WinService.ex     4044 Services                   0     34,132 K
avp.exe                       4056 Services                   0    239,848 K
ijplmsvc.exe                  4064 Services                   0      7,512 K
QQProtect.exe                 4076 Services                   0     19,328 K
svchost.exe                   4084 Services                   0     43,196 K
RstMwService.exe              3264 Services                   0      8,940 K
RtkAudUService64.exe          2492 Services                   0     10,364 K
pcas.exe                      3692 Services                   0     15,352 K
svchost.exe                   3720 Services                   0      8,544 K
PBCCRCPassGuardXInputServ     4100 Services                   0      8,804 K
svchost.exe                   4108 Services                   0      6,128 K
svchost.exe                   4116 Services                   0      6,908 K
sqlwriter.exe                 4124 Services                   0      8,064 K
WavesSysSvc64.exe             4204 Services                   0     10,312 K
svchost.exe                   4212 Services                   0     18,152 K
svchost.exe                   4220 Services                   0     21,820 K
